"branch","group","risk","last_commit_date","subject","connected_worktree","reason","recommended_action"
"audit/merged-branch-cleanup-candidates-20260515","D","HIGH","2026-05-15","fix(cleanup): detect worktree remove failures","YES","worktree_attached","SKIP_DANGER"
"batch/work-trace-save-experience-cards-20260515","A","PROTECTED","2026-05-15","feat(work-trace): save accepted candidates to raw_sources, experience_cards, experience_evidence","","protected pattern","PROTECT"
"chore/github-actions-pr-validation","C","MEDIUM","2026-05-04","fix(newgrad): correct axis1 registry QA import paths","","recent_14d","REVIEW_THEN_DELETE"
"chore/github-pages-auto-deploy","D","HIGH","2026-05-02","chore: add GitHub Pages auto deploy workflow","YES","worktree_attached","SKIP_DANGER"
"chore/newgrad-ambiguous-job-input-audit","D","HIGH","2026-05-03","Merge pull request #35 from true-hr/feature/job-alias-phase1-patch","YES","worktree_attached","SKIP_DANGER"
"chore/newgrad-axis1-major-job-fit-audit","D","HIGH","2026-05-03","Merge pull request #35 from true-hr/feature/job-alias-phase1-patch","YES","worktree_attached","SKIP_DANGER"
"chore/newgrad-axis1-output-qa-after-p2","D","HIGH","2026-05-03","Merge pull request #38 from true-hr/fix/newgrad-axis1-role-profiles-p2","YES","worktree_attached","SKIP_DANGER"
"chore/passmap-claude-workflow-system","D","HIGH","2026-05-11","feat(mvp): add editable resume experiences","","recent_7d","SKIP_DANGER"
"chore/passmap-workflow-rebase","D","HIGH","2026-05-11","fix(workflow): preserve direct execution mode","","recent_7d","SKIP_DANGER"
"chore/vercel-production-redeploy-trigger","D","HIGH","2026-05-04","docs: trigger production redeploy after main restore","YES","worktree_attached","SKIP_DANGER"
"compound-read-patch","D","HIGH","2026-05-08","feat(precise-analysis): add AI recruiter-view rejection analysis","","recent_7d","SKIP_DANGER"
"docs/axis1-round2-inputs","D","HIGH","2026-05-04","docs(newgrad): draft round2 major course inputs","YES","worktree_attached","SKIP_DANGER"
"docs/axis1-round3-inputs","D","HIGH","2026-05-04","docs(newgrad): draft round3 major course inputs","YES","worktree_attached","SKIP_DANGER"
"docs/axis1-special-major-inputs","D","HIGH","2026-05-04","docs(newgrad): draft special major bridge inputs","YES","worktree_attached","SKIP_DANGER"
"docs/newgrad-axis1-detail-reading-contract","D","HIGH","2026-05-03","docs(newgrad): add Axis1 detail reading contract","YES","worktree_attached","SKIP_DANGER"
"docs/newgrad-axis4-p3-option-b-lock","C","MEDIUM","2026-05-04","Merge pull request #93 from true-hr/fix/newgrad-axis4-typo-match-contact","","recent_14d","REVIEW_THEN_DELETE"
"feat/axis1-round2-major-bridge-registry","D","HIGH","2026-05-04","feat(newgrad): add round2 major bridge registry","YES","worktree_attached","SKIP_DANGER"
"feat/axis1-round3-major-bridge-registry","D","HIGH","2026-05-04","feat(newgrad): add round3 major bridge registry","YES","worktree_attached","SKIP_DANGER"
"feat/axis1-special-major-bridge-registry","D","HIGH","2026-05-04","feat(newgrad): add special major bridge registry","YES","worktree_attached","SKIP_DANGER"
"feat/newgrad-axis1-detail-reading-v1","D","HIGH","2026-05-03","Merge pull request #26 from true-hr/docs/newgrad-axis1-detail-reading-contract","YES","worktree_attached","SKIP_DANGER"
