testId,group,subcategory,difficulty,jd,resume,expected,expectedFailureType,notes
P001,match,synonym,easy,"디지털 마케팅 전략 수립 및 성과지표 관리 경험","온라인 마케팅 전략을 세우고 KPI를 운영한 경험",match,,"kpi alias"
P002,match,korean_english,easy,"고객관계관리 시스템 운영 경험","CRM 운영 및 고객 데이터 관리 경험",match,,"crm alias"
P003,match,tool_alias,easy,"전사적자원관리 시스템 사용 가능자","ERP 사용 및 운영 프로세스 지원 경험",match,,"erp alias"
P004,match,tool_alias,easy,"엑셀 기반 데이터 정리와 보고서 작성","Excel로 데이터 정리 및 리포트 작성 경험",match,,"excel alias"
P005,match,tool_alias,easy,"파워포인트로 경영진 보고 자료 작성","PPT로 임원 보고 자료를 제작한 경험",match,,"ppt alias"
P006,match,tool_alias,easy,"구글애널리틱스 활용 성과 분석","GA를 사용한 웹 성과 분석 경험",match,,"ga alias"
P007,match,word_order,easy,"브랜드 캠페인 기획 및 운영","운영과 기획을 포함한 브랜드 캠페인 경험",match,,"word order change"
P008,match,phrase_expansion,medium,"세일즈 데이터 분석을 통한 인사이트 도출","영업 데이터를 분석해 실행 가능한 인사이트를 제시한 경험",match,,"phrase expansion"
P009,match,action_result_shift,medium,"채널 운영 성과 개선 경험","채널을 운영하며 전환율을 개선한 경험",match,,"action result shift"
P010,match,synonym,medium,"채용 프로세스 운영 및 면접 조율","리크루팅 운영과 인터뷰 일정 조정 경험",match,,"recruiting synonym"
P011,match,korean_english,medium,"SQL을 활용한 데이터 추출 및 검증","sql 기반 데이터 조회와 검증 경험",match,,"sql lowercase"
P012,match,phrase_expansion,medium,"구매 전략기획 지원 및 시장 조사","전략기획 관점에서 구매 시장 리서치를 수행한 경험",match,,"same role phrased differently"
P013,match,word_order,medium,"인사 제도 운영과 평가 지원","평가 지원을 포함한 인사 제도 운영 경험",match,,"word order"
P014,match,synonym,medium,"성과 리포트 작성과 경영진 공유","성과 보고서를 작성해 경영진에 공유한 경험",match,,"report synonym"
