path,branch,head,status,merged_into_main,upstream,last_commit_date,danger_keyword,protected,group,reason,recommended_action
D:/passmap-worktrees/axis1-bridge-sync-structural,fix/newgrad-axis1-bridge-sync-structural,a879b2a,CLEAN,YES,origin/fix/newgrad-axis1-bridge-sync-structural,2026-05-11,none,NO,B_DEFER_ACTIVE_OR_RECENT,7-day boundary — bridge resolver alias patch; recent enough to defer,Re-evaluate after 2026-05-25
D:/passmap-worktrees/deploy-main-check,fix/resume-ai-state-render-binding,703d1a5,CLEAN,YES,origin/fix/resume-ai-state-render-binding,2026-05-06,deploy(path-only),NO,E_UNKNOWN_REVIEW,Branch is clean UI fix; worktree dir named deploy-main-check raises ambiguity,Confirm no deployment tooling references this path; then reclassify SAFE
D:/passmap-worktrees/deploy-trigger-vercel-main,chore/vercel-production-redeploy-trigger,fc422e9,CLEAN,YES,origin/main (behind 347),2026-05-04,vercel+deploy,NO,C_DANGER_OR_PROTECTED,Branch name contains vercel and deploy — explicit user approval required,User approval required before removal
D:/passmap-worktrees/fix-pharma-ra-axis2,fix/newgrad-axis2-pharma-ra-specialization,68e708b,CLEAN,YES,origin/fix/newgrad-axis2-pharma-ra-specialization,2026-05-12,none,NO,B_DEFER_ACTIVE_OR_RECENT,6 days ago — within active window; most recent of 5 deferred,Re-evaluate after 2026-05-25
D:/passmap-worktrees/fix-service-planning-bridge,fix/newgrad-axis1-service-planning-bridge-key,afabe00,CLEAN,YES,origin/fix/newgrad-axis1-service-planning-bridge-key,2026-05-11,none,NO,B_DEFER_ACTIVE_OR_RECENT,7-day boundary — key scope safety patch,Re-evaluate after 2026-05-25
D:/passmap-worktrees/hotfix-main-industry-registry-build,hotfix/main-industry-registry-build,2b26ced,CLEAN,YES,origin/main (behind 349),2026-05-04,none,YES (hotfix/ prefix),C_DANGER_OR_PROTECTED,Protected pattern hotfix/ — explicit user approval required,User approval required before removal
D:/passmap-worktrees/newgrad-axis1-bridge-content-batch1,fix/newgrad-axis1-bridge-content-batch1,bed2416,CLEAN,YES,origin/fix/newgrad-axis1-bridge-content-batch1,2026-05-11,none,NO,B_DEFER_ACTIVE_OR_RECENT,7-day boundary — batch content data; may still be useful for QA reference,Re-evaluate after 2026-05-25
D:/passmap-worktrees/newgrad-whatif-priority-map-step7a,fix/newgrad-whatif-priority-map-step7a,ad22b95,CLEAN,YES,origin/fix/newgrad-whatif-priority-map-step7a,2026-05-11,none,NO,B_DEFER_ACTIVE_OR_RECENT,7-day boundary — step 7a in multi-step what-if priority map series,Re-evaluate after 2026-05-25
D:/passmap-worktrees/resume-ai-source-binding-audit,fix/resume-ai-source-binding-audit-clean,1ff1e8b,CLEAN,YES,origin/main (behind 282),2026-05-06,none,NO,A_SAFE_WORKTREE_REMOVE_NEXT,12 days; merged; HEAD is PR merge commit; upstream reset to origin/main; clearly done,git worktree remove D:/passmap-worktrees/resume-ai-source-binding-audit
D:/passmap-worktrees/work-record-font-size-round3,fix/work-record-font-size-round3-clean,5b21ad9,CLEAN,YES,origin/fix/work-record-font-size,2026-05-09,none,NO,A_SAFE_WORKTREE_REMOVE_NEXT,9 days; merged; clean UI font fix; upstream name mismatch is benign,git worktree remove D:/passmap-worktrees/work-record-font-size-round3
